dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,month_year,cluster,year_month
2011-02-13,Spring,2011,February,Not Holiday,Sunday,Holiday,1,13,46,17,397,1192,1589,2011-02,0,2011-02
2011-02-14,Spring,2011,February,Not Holiday,Monday,Working Day,1,17,38,28,208,1705,1913,2011-02,0,2011-02
2011-02-15,Spring,2011,February,Not Holiday,Tuesday,Working Day,1,11,31,20,140,1675,1815,2011-02,0,2011-02
2011-02-16,Spring,2011,February,Not Holiday,Wednesday,Working Day,1,13,42,17,218,1897,2115,2011-02,0,2011-02
2011-02-17,Spring,2011,February,Not Holiday,Thursday,Working Day,1,18,50,15,259,2216,2475,2011-02,0,2011-02
2011-02-18,Spring,2011,February,Not Holiday,Friday,Working Day,1,21,52,18,579,2348,2927,2011-02,0,2011-02
2011-02-19,Spring,2011,February,Not Holiday,Saturday,Holiday,1,16,19,34,532,1103,1635,2011-02,0,2011-02
2011-02-20,Spring,2011,February,Not Holiday,Sunday,Holiday,1,12,41,15,639,1173,1812,2011-02,0,2011-02
2011-02-21,Spring,2011,February,Holiday,Monday,Holiday,2,12,60,21,195,912,1107,2011-02,0,2011-02
2011-02-22,Spring,2011,February,Not Holiday,Tuesday,Working Day,1,7,58,13,74,1376,1450,2011-02,0,2011-02
2011-02-23,Spring,2011,February,Not Holiday,Wednesday,Working Day,1,9,42,6,139,1778,1917,2011-02,0,2011-02
2011-02-24,Spring,2011,February,Not Holiday,Thursday,Working Day,2,12,70,17,100,1707,1807,2011-02,0,2011-02
2011-02-25,Spring,2011,February,Not Holiday,Friday,Working Day,2,15,71,23,120,1341,1461,2011-02,0,2011-02
2011-02-26,Spring,2011,February,Not Holiday,Saturday,Holiday,1,12,54,13,424,1545,1969,2011-02,0,2011-02
2011-02-27,Spring,2011,February,Not Holiday,Sunday,Holiday,1,14,68,8,694,1708,2402,2011-02,0,2011-02
2011-02-28,Spring,2011,February,Not Holiday,Monday,Working Day,2,17,88,19,81,1365,1446,2011-02,0,2011-02
2011-03-01,Spring,2011,March,Not Holiday,Tuesday,Working Day,1,11,54,15,137,1714,1851,2011-03,0,2011-03
2011-03-02,Spring,2011,March,Not Holiday,Wednesday,Working Day,1,14,45,21,231,1903,2134,2011-03,0,2011-03
2011-03-03,Spring,2011,March,Not Holiday,Thursday,Working Day,1,8,32,15,123,1562,1685,2011-03,0,2011-03
2011-03-04,Spring,2011,March,Not Holiday,Friday,Working Day,2,11,61,14,214,1730,1944,2011-03,0,2011-03
2011-03-05,Spring,2011,March,Not Holiday,Saturday,Holiday,2,16,79,17,640,1437,2077,2011-03,0,2011-03
2011-03-06,Spring,2011,March,Not Holiday,Sunday,Holiday,2,15,95,23,114,491,605,2011-03,0,2011-03
2011-03-07,Spring,2011,March,Not Holiday,Monday,Working Day,1,11,55,23,244,1628,1872,2011-03,0,2011-03
2011-03-08,Spring,2011,March,Not Holiday,Tuesday,Working Day,1,12,42,8,316,1817,2133,2011-03,0,2011-03
2011-03-09,Spring,2011,March,Not Holiday,Wednesday,Working Day,2,12,78,15,191,1700,1891,2011-03,0,2011-03
2011-03-10,Spring,2011,March,Not Holiday,Thursday,Working Day,3,16,0,18,46,577,623,2011-03,0,2011-03
2011-03-11,Spring,2011,March,Not Holiday,Friday,Working Day,2,13,65,16,247,1730,1977,2011-03,0,2011-03
2011-03-12,Spring,2011,March,Not Holiday,Saturday,Holiday,1,13,59,15,724,1408,2132,2011-03,0,2011-03
2011-03-13,Spring,2011,March,Not Holiday,Sunday,Holiday,1,16,53,18,982,1435,2417,2011-03,0,2011-03
2011-03-14,Spring,2011,March,Not Holiday,Monday,Working Day,1,13,50,9,359,1687,2046,2011-03,0,2011-03
2011-03-15,Spring,2011,March,Not Holiday,Tuesday,Working Day,2,13,66,12,289,1767,2056,2011-03,0,2011-03
2011-03-16,Spring,2011,March,Not Holiday,Wednesday,Working Day,2,15,78,14,321,1871,2192,2011-03,0,2011-03
2011-03-17,Spring,2011,March,Not Holiday,Thursday,Working Day,1,17,60,14,424,2320,2744,2011-03,0,2011-03
2011-03-18,Spring,2011,March,Not Holiday,Friday,Working Day,1,22,53,15,884,2355,3239,2011-03,0,2011-03
2011-03-19,Spring,2011,March,Not Holiday,Saturday,Holiday,1,19,38,25,1424,1693,3117,2011-03,0,2011-03
2011-03-20,Spring,2011,March,Not Holiday,Sunday,Holiday,1,14,47,14,1047,1424,2471,2011-03,0,2011-03
2011-03-21,Summer,2011,March,Not Holiday,Monday,Working Day,2,18,74,19,401,1676,2077,2011-03,0,2011-03
2011-03-22,Summer,2011,March,Not Holiday,Tuesday,Working Day,1,18,62,15,460,2243,2703,2011-03,0,2011-03
2011-03-23,Summer,2011,March,Not Holiday,Wednesday,Working Day,2,14,84,16,203,1918,2121,2011-03,0,2011-03
2011-03-24,Summer,2011,March,Not Holiday,Thursday,Working Day,2,12,81,16,166,1699,1865,2011-03,0,2011-03
2011-03-25,Summer,2011,March,Not Holiday,Friday,Working Day,1,11,50,15,300,1910,2210,2011-03,0,2011-03
2011-03-26,Summer,2011,March,Not Holiday,Saturday,Holiday,1,11,39,14,981,1515,2496,2011-03,0,2011-03
2011-03-27,Summer,2011,March,Not Holiday,Sunday,Holiday,2,10,49,12,472,1221,1693,2011-03,0,2011-03
2011-03-28,Summer,2011,March,Not Holiday,Monday,Working Day,1,11,30,14,222,1806,2028,2011-03,0,2011-03
2011-03-29,Summer,2011,March,Not Holiday,Tuesday,Working Day,1,12,31,15,317,2108,2425,2011-03,0,2011-03
2011-03-30,Summer,2011,March,Not Holiday,Wednesday,Working Day,2,12,65,12,168,1368,1536,2011-03,0,2011-03
2011-03-31,Summer,2011,March,Not Holiday,Thursday,Working Day,3,11,92,15,179,1506,1685,2011-03,0,2011-03
2011-04-01,Summer,2011,April,Not Holiday,Friday,Working Day,2,12,69,17,307,1920,2227,2011-04,0,2011-04
2011-04-02,Summer,2011,April,Not Holiday,Saturday,Holiday,2,13,65,13,898,1354,2252,2011-04,0,2011-04
2011-04-03,Summer,2011,April,Not Holiday,Sunday,Holiday,1,16,48,12,1651,1598,3249,2011-04,0,2011-04
2011-04-04,Summer,2011,April,Not Holiday,Monday,Working Day,1,24,43,26,734,2381,3115,2011-04,0,2011-04
2011-04-05,Summer,2011,April,Not Holiday,Tuesday,Working Day,2,17,64,26,167,1628,1795,2011-04,0,2011-04
2011-04-06,Summer,2011,April,Not Holiday,Wednesday,Working Day,1,16,47,18,413,2395,2808,2011-04,0,2011-04
2011-04-07,Summer,2011,April,Not Holiday,Thursday,Working Day,1,18,60,11,571,2570,3141,2011-04,0,2011-04
2011-04-08,Summer,2011,April,Not Holiday,Friday,Working Day,2,14,84,15,172,1299,1471,2011-04,0,2011-04
2011-04-09,Summer,2011,April,Not Holiday,Saturday,Holiday,2,14,88,9,879,1576,2455,2011-04,0,2011-04
2011-04-10,Summer,2011,April,Not Holiday,Sunday,Holiday,2,17,86,10,1188,1707,2895,2011-04,0,2011-04
2011-04-11,Summer,2011,April,Not Holiday,Monday,Working Day,2,24,72,22,855,2493,3348,2011-04,0,2011-04
2011-04-12,Summer,2011,April,Not Holiday,Tuesday,Working Day,2,21,74,18,257,1777,2034,2011-04,0,2011-04
2011-04-13,Summer,2011,April,Not Holiday,Wednesday,Working Day,2,17,82,17,209,1953,2162,2011-04,0,2011-04
2011-04-14,Summer,2011,April,Not Holiday,Thursday,Working Day,1,19,54,7,529,2738,3267,2011-04,2,2011-04
2011-04-15,Summer,2011,April,Holiday,Friday,Holiday,1,18,67,15,642,2484,3126,2011-04,0,2011-04
2011-04-16,Summer,2011,April,Not Holiday,Saturday,Holiday,3,18,89,23,121,674,795,2011-04,0,2011-04
2011-04-17,Summer,2011,April,Not Holiday,Sunday,Holiday,1,19,48,20,1558,2186,3744,2011-04,0,2011-04
2011-04-18,Summer,2011,April,Not Holiday,Monday,Working Day,1,21,54,11,669,2760,3429,2011-04,2,2011-04
2011-04-19,Summer,2011,April,Not Holiday,Tuesday,Working Day,2,21,67,11,409,2795,3204,2011-04,2,2011-04
2011-04-20,Summer,2011,April,Not Holiday,Wednesday,Working Day,1,24,61,16,613,3331,3944,2011-04,2,2011-04
2011-04-21,Summer,2011,April,Not Holiday,Thursday,Working Day,1,19,41,22,745,3444,4189,2011-04,2,2011-04
2011-04-22,Summer,2011,April,Not Holiday,Friday,Working Day,2,14,73,15,177,1506,1683,2011-04,0,2011-04
2011-04-23,Summer,2011,April,Not Holiday,Saturday,Holiday,2,19,89,15,1462,2574,4036,2011-04,2,2011-04
2011-04-24,Summer,2011,April,Not Holiday,Sunday,Holiday,2,24,81,13,1710,2481,4191,2011-04,2,2011-04
2011-04-25,Summer,2011,April,Not Holiday,Monday,Working Day,1,25,78,12,773,3300,4073,2011-04,2,2011-04
2011-04-26,Summer,2011,April,Not Holiday,Tuesday,Working Day,1,26,73,22,678,3722,4400,2011-04,2,2011-04
2011-04-27,Summer,2011,April,Not Holiday,Wednesday,Working Day,2,25,84,21,547,3325,3872,2011-04,2,2011-04
2011-04-28,Summer,2011,April,Not Holiday,Thursday,Working Day,2,25,70,22,569,3489,4058,2011-04,2,2011-04
2011-04-29,Summer,2011,April,Not Holiday,Friday,Working Day,1,21,46,16,878,3717,4595,2011-04,2,2011-04
2011-04-30,Summer,2011,April,Not Holiday,Saturday,Holiday,1,19,50,16,1965,3347,5312,2011-04,2,2011-04
2011-05-01,Summer,2011,May,Not Holiday,Sunday,Holiday,2,19,76,7,1138,2213,3351,2011-05,0,2011-05
2011-05-02,Summer,2011,May,Not Holiday,Monday,Working Day,2,23,73,12,847,3554,4401,2011-05,2,2011-05
2011-05-03,Summer,2011,May,Not Holiday,Tuesday,Working Day,2,25,70,23,603,3848,4451,2011-05,2,2011-05
2011-05-04,Summer,2011,May,Not Holiday,Wednesday,Working Day,2,17,74,22,255,2378,2633,2011-05,0,2011-05
2011-05-05,Summer,2011,May,Not Holiday,Thursday,Working Day,1,19,44,20,614,3819,4433,2011-05,2,2011-05
2011-05-06,Summer,2011,May,Not Holiday,Friday,Working Day,1,20,59,15,894,3714,4608,2011-05,2,2011-05
2011-05-07,Summer,2011,May,Not Holiday,Saturday,Holiday,1,21,54,11,1612,3102,4714,2011-05,2,2011-05
2011-05-08,Summer,2011,May,Not Holiday,Sunday,Holiday,1,22,63,5,1401,2932,4333,2011-05,2,2011-05
2011-05-09,Summer,2011,May,Not Holiday,Monday,Working Day,1,22,59,12,664,3698,4362,2011-05,2,2011-05
2011-05-10,Summer,2011,May,Not Holiday,Tuesday,Working Day,1,22,49,8,694,4109,4803,2011-05,2,2011-05
2011-05-11,Summer,2011,May,Not Holiday,Wednesday,Working Day,1,22,63,8,550,3632,4182,2011-05,2,2011-05
2011-05-12,Summer,2011,May,Not Holiday,Thursday,Working Day,1,22,75,13,695,4169,4864,2011-05,2,2011-05
2011-05-13,Summer,2011,May,Not Holiday,Friday,Working Day,2,21,86,12,692,3413,4105,2011-05,2,2011-05
2011-05-14,Summer,2011,May,Not Holiday,Saturday,Holiday,2,21,92,9,902,2507,3409,2011-05,0,2011-05
2011-05-15,Summer,2011,May,Not Holiday,Sunday,Holiday,2,23,87,10,1582,2971,4553,2011-05,2,2011-05
2011-05-16,Summer,2011,May,Not Holiday,Monday,Working Day,1,24,79,9,773,3185,3958,2011-05,2,2011-05
2011-05-17,Summer,2011,May,Not Holiday,Tuesday,Working Day,2,23,84,19,678,3445,4123,2011-05,2,2011-05
2011-05-18,Summer,2011,May,Not Holiday,Wednesday,Working Day,2,23,87,13,536,3319,3855,2011-05,2,2011-05
2011-05-19,Summer,2011,May,Not Holiday,Thursday,Working Day,2,22,83,7,735,3840,4575,2011-05,2,2011-05
2011-05-20,Summer,2011,May,Not Holiday,Friday,Working Day,1,22,72,8,909,4008,4917,2011-05,2,2011-05
2011-05-21,Summer,2011,May,Not Holiday,Saturday,Holiday,1,25,63,8,2258,3547,5805,2011-05,2,2011-05
2011-05-22,Summer,2011,May,Not Holiday,Sunday,Holiday,1,25,75,10,1576,3084,4660,2011-05,2,2011-05
2011-05-23,Summer,2011,May,Not Holiday,Monday,Working Day,2,26,81,16,836,3438,4274,2011-05,2,2011-05
2011-05-24,Summer,2011,May,Not Holiday,Tuesday,Working Day,2,27,74,14,659,3833,4492,2011-05,2,2011-05
2011-05-25,Summer,2011,May,Not Holiday,Wednesday,Working Day,1,27,70,10,740,4238,4978,2011-05,2,2011-05
2011-05-26,Summer,2011,May,Not Holiday,Thursday,Working Day,1,29,68,13,758,3919,4677,2011-05,2,2011-05
2011-05-27,Summer,2011,May,Not Holiday,Friday,Working Day,1,28,65,16,871,3808,4679,2011-05,2,2011-05
2011-05-28,Summer,2011,May,Not Holiday,Saturday,Holiday,1,27,73,15,2001,2757,4758,2011-05,2,2011-05
2011-05-29,Summer,2011,May,Not Holiday,Sunday,Holiday,1,27,82,14,2355,2433,4788,2011-05,2,2011-05
2011-05-30,Summer,2011,May,Holiday,Monday,Holiday,1,30,68,9,1549,2549,4098,2011-05,2,2011-05
2011-05-31,Summer,2011,May,Not Holiday,Tuesday,Working Day,1,32,64,7,673,3309,3982,2011-05,2,2011-05
2011-06-01,Summer,2011,June,Not Holiday,Wednesday,Working Day,2,31,68,14,513,3461,3974,2011-06,2,2011-06
2011-06-02,Summer,2011,June,Not Holiday,Thursday,Working Day,1,29,30,20,736,4232,4968,2011-06,2,2011-06
2011-06-03,Summer,2011,June,Not Holiday,Friday,Working Day,1,25,35,17,898,4414,5312,2011-06,2,2011-06
2011-06-04,Summer,2011,June,Not Holiday,Saturday,Holiday,1,26,46,8,1869,3473,5342,2011-06,2,2011-06
2011-06-05,Summer,2011,June,Not Holiday,Sunday,Holiday,2,27,65,9,1685,3221,4906,2011-06,2,2011-06
2011-06-06,Summer,2011,June,Not Holiday,Monday,Working Day,1,28,60,8,673,3875,4548,2011-06,2,2011-06
2011-06-07,Summer,2011,June,Not Holiday,Tuesday,Working Day,1,29,60,13,763,4070,4833,2011-06,2,2011-06
2011-06-08,Summer,2011,June,Not Holiday,Wednesday,Working Day,1,32,62,9,676,3725,4401,2011-06,2,2011-06
2011-06-09,Summer,2011,June,Not Holiday,Thursday,Working Day,2,33,57,10,563,3352,3915,2011-06,2,2011-06
2011-06-10,Summer,2011,June,Not Holiday,Friday,Working Day,1,31,60,9,815,3771,4586,2011-06,2,2011-06
2011-06-11,Summer,2011,June,Not Holiday,Saturday,Holiday,1,30,65,10,1729,3237,4966,2011-06,2,2011-06
2011-06-12,Summer,2011,June,Not Holiday,Sunday,Holiday,1,28,75,11,1467,2993,4460,2011-06,2,2011-06
2011-06-13,Summer,2011,June,Not Holiday,Monday,Working Day,1,26,49,20,863,4157,5020,2011-06,2,2011-06
2011-06-14,Summer,2011,June,Not Holiday,Tuesday,Working Day,1,25,51,18,727,4164,4891,2011-06,2,2011-06
2011-06-15,Summer,2011,June,Not Holiday,Wednesday,Working Day,1,26,47,11,769,4411,5180,2011-06,2,2011-06
2011-06-16,Summer,2011,June,Not Holiday,Thursday,Working Day,2,26,69,14,545,3222,3767,2011-06,2,2011-06
2011-06-17,Summer,2011,June,Not Holiday,Friday,Working Day,1,27,74,10,863,3981,4844,2011-06,2,2011-06
2011-06-18,Summer,2011,June,Not Holiday,Saturday,Holiday,1,29,67,8,1807,3312,5119,2011-06,2,2011-06
2011-06-19,Summer,2011,June,Not Holiday,Sunday,Holiday,2,29,67,7,1639,3105,4744,2011-06,2,2011-06
2011-06-20,Summer,2011,June,Not Holiday,Monday,Working Day,2,26,75,10,699,3311,4010,2011-06,2,2011-06
2011-06-21,Fall,2011,June,Not Holiday,Tuesday,Working Day,2,28,77,11,774,4061,4835,2011-06,2,2011-06
2011-06-22,Fall,2011,June,Not Holiday,Wednesday,Working Day,1,30,71,12,661,3846,4507,2011-06,2,2011-06
2011-06-23,Fall,2011,June,Not Holiday,Thursday,Working Day,2,30,70,16,746,4044,4790,2011-06,2,2011-06
2011-06-24,Fall,2011,June,Not Holiday,Friday,Working Day,1,30,57,15,969,4022,4991,2011-06,2,2011-06
2011-06-25,Fall,2011,June,Not Holiday,Saturday,Holiday,1,28,48,14,1782,3420,5202,2011-06,2,2011-06
2011-06-26,Fall,2011,June,Not Holiday,Sunday,Holiday,1,28,51,6,1920,3385,5305,2011-06,2,2011-06
2011-06-27,Fall,2011,June,Not Holiday,Monday,Working Day,2,28,66,7,854,3854,4708,2011-06,2,2011-06
2011-06-28,Fall,2011,June,Not Holiday,Tuesday,Working Day,1,31,63,10,732,3916,4648,2011-06,2,2011-06
2011-06-29,Fall,2011,June,Not Holiday,Wednesday,Working Day,1,30,50,18,848,4377,5225,2011-06,2,2011-06
2011-06-30,Fall,2011,June,Not Holiday,Thursday,Working Day,1,29,43,12,1027,4488,5515,2011-06,2,2011-06
2011-07-01,Fall,2011,July,Not Holiday,Friday,Working Day,1,30,40,7,1246,4116,5362,2011-07,2,2011-07
2011-07-02,Fall,2011,July,Not Holiday,Saturday,Holiday,1,30,44,8,2204,2915,5119,2011-07,2,2011-07
2011-07-03,Fall,2011,July,Not Holiday,Sunday,Holiday,2,29,68,15,2282,2367,4649,2011-07,2,2011-07
2011-07-04,Fall,2011,July,Holiday,Monday,Holiday,2,30,64,5,3065,2978,6043,2011-07,2,2011-07
2011-07-05,Fall,2011,July,Not Holiday,Tuesday,Working Day,1,31,59,8,1031,3634,4665,2011-07,2,2011-07
2011-07-06,Fall,2011,July,Not Holiday,Wednesday,Working Day,1,30,74,10,784,3845,4629,2011-07,2,2011-07
2011-07-07,Fall,2011,July,Not Holiday,Thursday,Working Day,1,31,65,11,754,3838,4592,2011-07,2,2011-07
2011-07-08,Fall,2011,July,Not Holiday,Friday,Working Day,2,29,76,15,692,3348,4040,2011-07,2,2011-07
2011-07-09,Fall,2011,July,Not Holiday,Saturday,Holiday,1,30,61,11,1988,3348,5336,2011-07,2,2011-07
2011-07-10,Fall,2011,July,Not Holiday,Sunday,Holiday,1,31,58,12,1743,3138,4881,2011-07,2,2011-07
2011-07-11,Fall,2011,July,Not Holiday,Monday,Working Day,1,31,64,19,723,3363,4086,2011-07,2,2011-07
2011-07-12,Fall,2011,July,Not Holiday,Tuesday,Working Day,1,33,56,13,662,3596,4258,2011-07,2,2011-07
2011-07-13,Fall,2011,July,Not Holiday,Wednesday,Working Day,1,31,63,10,748,3594,4342,2011-07,2,2011-07
2011-07-14,Fall,2011,July,Not Holiday,Thursday,Working Day,1,28,48,16,888,4196,5084,2011-07,2,2011-07
2011-07-15,Fall,2011,July,Not Holiday,Friday,Working Day,1,27,59,12,1318,4220,5538,2011-07,2,2011-07
2011-07-16,Fall,2011,July,Not Holiday,Saturday,Holiday,1,28,58,14,2418,3505,5923,2011-07,2,2011-07
2011-07-17,Fall,2011,July,Not Holiday,Sunday,Holiday,1,29,60,16,2006,3296,5302,2011-07,2,2011-07
2011-07-18,Fall,2011,July,Not Holiday,Monday,Working Day,1,31,65,14,841,3617,4458,2011-07,2,2011-07
2011-07-19,Fall,2011,July,Not Holiday,Tuesday,Working Day,1,32,65,9,752,3789,4541,2011-07,2,2011-07
2011-07-20,Fall,2011,July,Not Holiday,Wednesday,Working Day,1,32,71,8,644,3688,4332,2011-07,2,2011-07
2011-07-21,Fall,2011,July,Not Holiday,Thursday,Working Day,2,33,69,15,632,3152,3784,2011-07,2,2011-07
2011-07-22,Fall,2011,July,Not Holiday,Friday,Working Day,1,35,58,9,562,2825,3387,2011-07,2,2011-07
2011-07-23,Fall,2011,July,Not Holiday,Saturday,Holiday,1,35,50,9,987,2298,3285,2011-07,0,2011-07
2011-07-24,Fall,2011,July,Not Holiday,Sunday,Holiday,1,34,55,11,1050,2556,3606,2011-07,2,2011-07
2011-07-25,Fall,2011,July,Not Holiday,Monday,Working Day,1,30,76,6,568,3272,3840,2011-07,2,2011-07
2011-07-26,Fall,2011,July,Not Holiday,Tuesday,Working Day,1,32,54,13,750,3840,4590,2011-07,2,2011-07
2011-07-27,Fall,2011,July,Not Holiday,Wednesday,Working Day,1,32,40,12,755,3901,4656,2011-07,2,2011-07
2011-07-28,Fall,2011,July,Not Holiday,Thursday,Working Day,1,32,58,12,606,3784,4390,2011-07,2,2011-07
2011-07-29,Fall,2011,July,Not Holiday,Friday,Working Day,1,34,54,12,670,3176,3846,2011-07,2,2011-07
2011-07-30,Fall,2011,July,Not Holiday,Saturday,Holiday,1,33,47,11,1559,2916,4475,2011-07,2,2011-07
2011-07-31,Fall,2011,July,Not Holiday,Sunday,Holiday,1,33,48,11,1524,2778,4302,2011-07,2,2011-07
2011-08-01,Fall,2011,August,Not Holiday,Monday,Working Day,1,32,55,11,729,3537,4266,2011-08,2,2011-08
2011-08-02,Fall,2011,August,Not Holiday,Tuesday,Working Day,1,32,49,14,801,4044,4845,2011-08,2,2011-08
2011-08-03,Fall,2011,August,Not Holiday,Wednesday,Working Day,2,30,66,9,467,3107,3574,2011-08,2,2011-08
2011-08-04,Fall,2011,August,Not Holiday,Thursday,Working Day,2,29,76,13,799,3777,4576,2011-08,2,2011-08
2011-08-05,Fall,2011,August,Not Holiday,Friday,Working Day,1,29,63,12,1023,3843,4866,2011-08,2,2011-08
2011-08-06,Fall,2011,August,Not Holiday,Saturday,Holiday,2,29,76,15,1521,2773,4294,2011-08,2,2011-08
2011-08-07,Fall,2011,August,Not Holiday,Sunday,Holiday,1,30,75,13,1298,2487,3785,2011-08,2,2011-08
2011-08-08,Fall,2011,August,Not Holiday,Monday,Working Day,1,31,59,13,846,3480,4326,2011-08,2,2011-08
2011-08-09,Fall,2011,August,Not Holiday,Tuesday,Working Day,1,32,57,10,907,3695,4602,2011-08,2,2011-08
2011-08-10,Fall,2011,August,Not Holiday,Wednesday,Working Day,1,31,42,13,884,3896,4780,2011-08,2,2011-08
2011-08-11,Fall,2011,August,Not Holiday,Thursday,Working Day,1,29,42,11,812,3980,4792,2011-08,2,2011-08
2011-08-12,Fall,2011,August,Not Holiday,Friday,Working Day,1,29,42,8,1051,3854,4905,2011-08,2,2011-08
2011-08-13,Fall,2011,August,Not Holiday,Saturday,Holiday,2,28,73,14,1504,2646,4150,2011-08,2,2011-08
2011-08-14,Fall,2011,August,Not Holiday,Sunday,Holiday,2,28,82,15,1338,2482,3820,2011-08,2,2011-08
2011-08-15,Fall,2011,August,Not Holiday,Monday,Working Day,1,27,71,14,775,3563,4338,2011-08,2,2011-08
